HX	Hebrew - Samech
HY	Hebrew - Tet
HZ	Hebrew - Zayin
IA	I-Ching - Air/Wind
IE	I-Ching - Earth/Ground
IF	I-Ching - Fire
IH	I-Ching - Heaven
II	I-Ching - Yin
IJ	I-Ching - Greater Yin
IK	I-Ching - Lesser Yin
IL	I-Ching - Lake
IM	I-Ching - Mountain
IT	I-Ching - Thunder
IW	I-Ching - Water
IX	I-Ching - Yang
IY	I-Ching - Greater Yang
IZ	I-Ching - Lesser Yang
L0	Linear - 0
L1	Linear - 1
L2	Linear - 2
L3	Linear - 3
L4	Linear - 4
L5	Linear - 5
L6	Linear - 6
L7	Linear - 7
L8	Linear - 8
L9	Linear - 9
LA	Latin - A
LB	Latin - B
LC	Latin - C
LD	Latin - D
LE	Latin - E
LF	Latin - F
LG	Latin - G
LH	Latin - H
LI	Latin - I
LJ	Latin - J
LK	Latin - K
LL	Latin - L
LM	Latin - M
LN	Latin - N
LO	Latin - O
LP	Latin - P
LQ	Latin - Q
LR	Latin - R
LS	Latin - S
LT	Latin - T
LU	Latin - U
LV	Latin - V
LW	Latin - W
LX	Latin - X
LY	Latin - Y
LZ	Latin - Z
MB	Monopoly Bus
MC	Mahjong - Red Dragon (Chung)
ME	Mahjong - East
MF	Mahjong - Green Dragon (Fa)
MM	Mr. Monopoly
MN	Mahjong - North
MP	Mahjong - White Dragon (Pai)
MS	Mahjong - South
MW	Mahjong - West
NA	Numeric - Analog
ND	Numeric - Digital
NP	Numeric - Pips
P7	Poker - 7
P8	Poker - 8
P9	Poker - 9
PA	Poker - Ace
PJ	Poker - Jack
PK	Poker - King
PQ	Poker - Queen
PX	Poker - 10
R0	Roman - O (0)
R1	Roman - I (1)
R2	Roman - II (2)
R3	Roman - III (3)
R4	Roman - IV (4)
R5	Roman - V (5)
R6	Roman - VI (6)
R7	Roman - VII (7)
R8	Roman - VIII (8)
R9	Roman - IX (9)
RA	RPS - Airship
RB	Rebecca Bettencourt
RD	RPS - Dynamite
RF	RPS - Fire
RI	RPS - Pencil
RL	RPS - Lizard
RO	RPS - Well
RP	RPS - Paper
RR	RPS - Rock
RS	RPS - Scissors
RT	RPS - Tentacles
RV	RPS - Spock
RW	RPS - Water
RX	Roman - X (10)
RY	Roman - XI (11)
RZ	Roman - XII (12)
SA	Suit - Anchor
SB	Chess - Bishop
SC	Suit - Club
SD	Suit - Diamond
SH	Suit - Heart
SK	Chess - King
SN	Chess - Night
SP	Chess - Pawn
SQ	Chess - Queen
SR	Chess - Rook
SS	Suit - Spade
W0	Weekday - Sunday
W1	Weekday - Monday
W2	Weekday - Tuesday
W3	Weekday - Wednesday
W4	Weekday - Thursday
W5	Weekday - Friday
W6	Weekday - Saturday
WA	Month - January
WB	Month - February
WC	Month - March
WD	Month - April
WE	Month - May
WF	Month - June
WG	Month - July
WH	Month - August
WI	Month - September
WJ	Month - October
WK	Month - November
WL	Month - December
WM	Month - Undecimber
ZA	Zodiac - Ascending Node
ZB	Zodiac - Libra
ZC	Zodiac - Cancer
ZD	Zodiac - Descending Node
ZE	Zodiac - Earth
ZF	Zodiac - Pisces
ZG	Zodiac - Gemini
ZH	Zodiac - Saturn
ZI	Zodiac - Sagittarius
ZJ	Zodiac - Jupiter
ZK	Zodiac - Capricorn
ZL	Zodiac - Leo
ZM	Zodiac - Moon
ZN	Zodiac - Neptune
ZO	Zodiac - Sun
ZP	Zodiac - Pluto
ZQ	Zodiac - Aquarius
ZR	Zodiac - Aries
ZS	Zodiac - Scorpio
ZT	Zodiac - Taurus
ZU	Zodiac - Uranus
ZV	Zodiac - Virgo
ZW	Zodiac - Venus
ZX	Zodiac - Comet
ZY	Zodiac - Mercury
ZZ	Zodiac - Mars
